genus,family,order,group,accepted_bin,mono_fern
Acacia,Leguminosae,Fabales,Angiosperms,Acacia argyraea,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia argyrodendron,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia paradoxa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia armillata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia armitii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia assimilis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia atopa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia attenuata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia aulacocarpa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia auriculiformis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia auripila,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ausfeldii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia axillaris,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ayersiana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia baileyana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia bakeri,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia bancroftiorum,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia barrettiorum,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia beauverdiana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia binervata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia binervia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia blakei,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia blakelyi,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia blayana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia terminalis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia brachystachya,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia brassii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia brockii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia bromilowiana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia brumalis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia bulgaensis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia burrowii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia burrowsiana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia caerulescens,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia caesiella,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia calamifolia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia calcicola,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cambagei,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cangaiensis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cardiophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia carneorum,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia caroleae,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia catenulata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia celastrifolia,FALSE
Racosperma,Leguminosae,Fabales,Angiosperms,Racosperma celsum,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia chartacea,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cheelii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia chrysotricha,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cincinnata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia citrinoviridis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia stowardii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia clunies-rossiae,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cockertoniana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cognata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia colei,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia colletioides,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia complanata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia concurrens,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia conferta,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia confusa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia conniana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia conspersa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia constricta,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia convallium,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia coolgardiensis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia coriacea,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia courtii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia covenyi,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cowaniana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cowleana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia craspedocarpa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia crassa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia crassicarpa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia crassiuscula,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia crenulata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia creatacea,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cretata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia crombiei,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cultriformis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia cuspidifolia,FALSE
